date_deployed,date_collected,Site,Replicate,Shell,Side,Count_1,Count_2
2025-08-12,2025-10-16,ASHC,A,1,top,1,1
2025-08-12,2025-10-16,ASHC,A,1,bottom,0,0
2025-08-12,2025-10-16,ASHC,A,2,top,0,0
2025-08-12,2025-10-16,ASHC,A,2,bottom,0,0
2025-08-12,2025-10-16,ASHC,A,3,top,1,1
2025-08-12,2025-10-16,ASHC,A,3,bottom,0,0
2025-08-12,2025-10-16,ASHC,A,4,top,0,0
2025-08-12,2025-10-16,ASHC,A,4,bottom,0,0
2025-08-12,2025-10-16,ASHC,A,5,top,1,1
2025-08-12,2025-10-16,ASHC,A,5,bottom,0,0
2025-08-12,2025-10-16,ASHC,A,6,top,1,1
2025-08-12,2025-10-16,ASHC,A,6,bottom,0,0
2025-08-12,2025-10-16,ASHC,B,1,top,2,2
2025-08-12,2025-10-16,ASHC,B,1,bottom,0,0
2025-08-12,2025-10-16,ASHC,B,2,top,2,2
2025-08-12,2025-10-16,ASHC,B,2,bottom,1,1
2025-08-12,2025-10-16,ASHC,B,3,top,0,0
2025-08-12,2025-10-16,ASHC,B,3,bottom,0,0
2025-08-12,2025-10-16,ASHC,B,4,top,2,2
2025-08-12,2025-10-16,ASHC,B,4,bottom,2,2
2025-08-12,2025-10-16,ASHC,B,5,top,0,0
2025-08-12,2025-10-16,ASHC,B,5,bottom,0,0
2025-08-12,2025-10-16,ASHC,B,6,top,4,4
2025-08-12,2025-10-16,ASHC,B,6,bottom,1,1
2025-08-12,2025-10-16,ASHC,C,1,top,2,2
2025-08-12,2025-10-16,ASHC,C,1,bottom,0,0
2025-08-12,2025-10-16,ASHC,C,2,top,1,1
2025-08-12,2025-10-16,ASHC,C,2,bottom,1,1
2025-08-12,2025-10-16,ASHC,C,3,top,2,2
2025-08-12,2025-10-16,ASHC,C,3,bottom,0,0
2025-08-12,2025-10-16,ASHC,C,4,top,1,1
2025-08-12,2025-10-16,ASHC,C,4,bottom,0,0
2025-08-12,2025-10-16,ASHC,C,5,top,1,1
2025-08-12,2025-10-16,ASHC,C,5,bottom,0,0
2025-08-12,2025-10-16,ASHC,C,6,top,1,1
2025-08-12,2025-10-16,ASHC,C,6,bottom,0,0
2025-08-12,2025-10-16,ASHC,D,1,top,0,0
2025-08-12,2025-10-16,ASHC,D,1,bottom,0,0
2025-08-12,2025-10-16,ASHC,D,2,top,1,1
2025-08-12,2025-10-16,ASHC,D,2,bottom,0,0
2025-08-12,2025-10-16,ASHC,D,3,top,1,1
2025-08-12,2025-10-16,ASHC,D,3,bottom,0,0
2025-08-12,2025-10-16,ASHC,D,4,top,0,0
2025-08-12,2025-10-16,ASHC,D,4,bottom,0,0
2025-08-12,2025-10-16,ASHC,D,5,top,3,3
2025-08-12,2025-10-16,ASHC,D,5,bottom,0,0
2025-08-12,2025-10-16,ASHC,D,6,top,0,0
2025-08-12,2025-10-16,ASHC,D,6,bottom,1,1
2025-08-12,2025-10-16,ASHC,E,1,top,0,0
2025-08-12,2025-10-16,ASHC,E,1,bottom,0,0
2025-08-12,2025-10-16,ASHC,E,2,top,2,2
2025-08-12,2025-10-16,ASHC,E,2,bottom,0,0
2025-08-12,2025-10-16,ASHC,E,3,top,2,2
2025-08-12,2025-10-16,ASHC,E,3,bottom,0,0
2025-08-12,2025-10-16,ASHC,E,4,top,1,1
2025-08-12,2025-10-16,ASHC,E,4,bottom,0,0
2025-08-12,2025-10-16,ASHC,E,5,top,0,0
2025-08-12,2025-10-16,ASHC,E,5,bottom,1,1
2025-08-12,2025-10-16,ASHC,E,6,top,1,1
2025-08-12,2025-10-16,ASHC,E,6,bottom,0,0
2025-08-12,2025-10-16,ASHC,F,1,top,3,3
2025-08-12,2025-10-16,ASHC,F,1,bottom,0,0
2025-08-12,2025-10-16,ASHC,F,2,top,1,1
2025-08-12,2025-10-16,ASHC,F,2,bottom,0,0
2025-08-12,2025-10-16,ASHC,F,3,top,0,0
2025-08-12,2025-10-16,ASHC,F,3,bottom,0,0
2025-08-12,2025-10-16,ASHC,F,4,top,0,0
2025-08-12,2025-10-16,ASHC,F,4,bottom,0,0
2025-08-12,2025-10-16,ASHC,F,5,top,0,0
2025-08-12,2025-10-16,ASHC,F,5,bottom,0,0
2025-08-12,2025-10-16,ASHC,F,6,top,0,0
2025-08-12,2025-10-16,ASHC,F,6,bottom,0,0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
